name,parent_id
Casters for standing desk,Accessories
Body,Health
Flat,Monitors
Desktop Speakers,Sound
Power Outlets,Chargers
USB Type C Hubs,Hubs & Adapters
Monitor's Arms,supports
Frames,Desks
Decoration,Decoration
Keyboards,Keyboards & mice
Ergonomic Chairs,Chairs
Anti-fatigue Mats,Accessories
Mice,Keyboards & mice
USB hubs,Hubs & Adapters
USB Chargers,Chargers
Almohadillas,Accessories
Envelopes,Desks
Laptop Stand,supports
Taburet,Chairs
Curved,Monitors
Air,Health
Soundbar,Sound
Adapters,Hubs & Adapters
Executive Chairs,Chairs
Wireless Chargers,Chargers
Auriculares,Sound
Sanitizers,Health
Tablet Stand,supports
Cabinets,Accessories
Phone Holder,supports
Headphone Stand,supports
Cables,Hubs & Adapters
Gaming chairs,Chairs
Lighting,Accessories
Splitters,Hubs & Adapters
CPU Stand,supports
Cable Management,Accessories
IPhone Hubs,Hubs & Adapters
Wrist rest,Accessories
Raise the monitor,supports
Balance Sheets,Accessories
Drawers,Accessories
Footrest,Accessories
